9022_282357_000000_000000	INDIANS NEAR NEW WESTMINSTER, B.C. . . . . . . . . . . .	INDIANS NEAR NEW WESTMINSTER, b c . . . . . . . . . . .	false	0	2.85	24.775211
9022_282357_000000_000001	" " 12 From a photograph by Maynard.	" " twelve From a photograph by Maynard.	false	2.85	4.92	23.566391
9022_282357_000001_000000	IN THE ROCKY MOUNTAINS . . . . . . . . . . . . . . . . .	IN THE ROCKY MOUNTAINS . . . . . . . . . . . . . . . . .	false	4.92	6.3	19.91216
9022_282357_000001_000001	" " 28 From a photograph.	" " twenty eight From a photograph.	false	6.3	8.04	20
9022_282357_000002_000000	A GROUP OF THOMPSON RIVER INDIANS . . . . . . . . . . . " " 36 From a photograph by Maynard.	A GROUP OF THOMPSON RIVER INDIANS . . . . . . . . . . . " " thirty six From a photograph by Maynard.	false	8.04	12.54	22.651426
9022_282357_000003_000000	SIR MATTHEW BAILLIE BEGBIE . . . . . . . . . . . . . . .	SIR matthew BAILLIE BEGBIE . . . . . . . . . . . . . . .	false	12.54	13.95	28.70653
9022_282357_000003_000001	" " 38 From a portrait by Savannah.	" " thirty eight From a portrait by Savannah.	false	13.95	16.38	20.017952
9022_282357_000004_000000	A RED RIVER CART . . . . . . . . . . . . . . . . . . . .	A RED RIVER CART . . . . . . . . . . . . . . . . . . . .	false	16.38	16.83	100
9022_282357_000004_000001	" " 58 From a photograph.	" " fifty eight From a photograph.	false	16.83	17.58	25.891916
9022_282357_000005_000000	WASHING GOLD ON THE SASKATCHEWAN . . . . . . . . . . . .	WASHING GOLD ON THE SASKATCHEWAN . . . . . . . . . . . .	false	17.58	19.14	37.463284
9022_282357_000005_000001	" " 62 From a photograph.	" " sixty two From a photograph.	false	19.14	20.52	22.82897
9022_282357_000006_000000	{viii}	{viii}	false	20.52	20.79	11
9022_282357_000007_000000	IN THE YELLOWHEAD PASS . . . . . . . . . . . . . . . . .	IN THE YELLOWHEAD PASS . . . . . . . . . . . . . . . . .	false	20.79	21.51	21
9022_282357_000007_000001	" " 64 From a photograph.	" " sixty four From a photograph.	false	21.51	22.38	17
9022_282357_000008_000000	UPPER M'LEOD RIVER . . . . . . . . . . . . . . . . . . .	UPPER M'LEOD RIVER . . . . . . . . . . . . . . . . . . .	false	22.38	22.92	10
9022_282357_000008_000001	" " 66 From a photograph.	" " sixty six From a photograph.	false	22.92	23.82	28.322096
9022_282357_000009_000000	THE CARIBOO ROAD . . . . . . . . . . . . . . . . . . . .	THE c a r i b o o ROAD . . . . . . . . . . . . . . . . . . . .	false	23.82	24.63	5
9022_282357_000009_000001	" " 100 From a photograph.	" " one hundred From a photograph.	false	24.63	25.08	33.229214
9022_282357_000010_000000	INDIAN GRAVES AT LYTTON, B.C. . . . . . . . . . . . . . " " 102 From a photograph.	INDIAN GRAVES AT LYTTON, b c . . . . . . . . . . . . . " " one hundred two From a photograph.	false	25.08	26.13	14
9022_282357_000011_000000	[Illustration: Map of the Cariboo Country]	[Illustration: Map of the Cariboo Country]	false	26.13	26.67	4
9022_282357_000012_000000	{1}	{one}	false	26.67	26.76	-20
9022_282357_000013_000000	CHAPTER I	CHAPTER one	false	26.76	26.94	-20
9022_282357_000014_000000	THE 'ARGONAUTS'	THE 'ARGONAUTS'	true	26.94	28.06	23
9022_282357_000015_000000	Early in 1849 the sleepy quiet of Victoria, Vancouver Island, was disturbed by the arrival of straggling groups of ragged nondescript wanderers, who were neither trappers nor settlers.	Early in eighteen forty nine the sleepy quiet of Victoria, Vancouver Island, was disturbed by the arrival of straggling groups of ragged nondescript wanderers, who were neither trappers nor settlers.	true	29	42.55	24.208569
9022_282357_000015_000001	They carried blanket packs on their backs and leather bags belted securely round the waist close to their pistols.	They carried blanket packs on their backs and leather bags belted securely round the waist close to their pistols.	true	43.28	50.41	25
9022_282357_000015_000002	They did not wear moccasins after the fashion of trappers, but heavy, knee-high, hobnailed boots.	They did not wear moccasins after the fashion of trappers, but heavy, knee high, hobnailed boots.	true	50.84	57.1	22.065346
9022_282357_000015_000003	In place of guns over their shoulders, they had picks and hammers and such stout sticks as mountaineers use in climbing.	In place of guns over their shoulders, they had picks and hammers and such stout sticks as mountaineers use in climbing.	true	57.5	65.5	23.33354
9022_282357_000015_000004	They did not forgather with the Indians.	They did not forgather with the Indians.	true	66.17	68.53	22.742653
9022_282357_000015_000005	They shunned the Indians and had little to say to any one.	They shunned the Indians and had little to say to any one.	true	68.54	72.07	24
9022_282357_000015_000006	They volunteered little information as to whence they had come or whither they were going.	They volunteered little information as to whence they had come or whither they were going.	true	72.59	78.22	20.727571
9022_282357_000015_000007	They sought out Roderick Finlayson, chief trader for the Hudson's Bay Company.	They sought out Roderick Finlayson, chief trader for the Hudson's Bay Company.	true	78.77	84.1	22.945492
9022_282357_000015_000008	They wanted provisions from the company--yes--rice, flour, ham, salt, pepper, sugar, and tobacco; and at the smithy they {2} demanded shovels, picks, iron ladles, and wire screens.	They wanted provisions from the company-yes-rice, flour, ham, salt, pepper, sugar, and tobacco; and at the smithy they {two} demanded shovels, picks, iron ladles, and wire screens.	false	84.68	98.2	24.535326
9022_282357_000015_000009	It was only when they came to pay that Finlayson felt sure of what he had already guessed.	It was only when they came to pay that Finlayson felt sure of what he had already guessed.	true	98.75	103.93	19
9022_282357_000015_000010	They unstrapped those little leather bags round under their cartridge belts and produced in tiny gold nuggets the price of what they had bought.	They unstrapped those little leather bags round under their cartridge belts and produced in tiny gold nuggets the price of what they had bought.	true	104.93	115.69	25.463902
9022_282357_000016_000000	Finlayson did not know exactly what to do.	Finlayson did not know exactly what to do.	true	115.79	118.54	23.577114
9022_282357_000016_000001	The fur-trader hated the miner.	The fur trader hated the miner.	true	118.88	121	19.896595
9022_282357_000016_000002	The miner, wherever he went, sounded the knell of fur-trading; and the trapper did not like to have his game preserve overrun by fellows who scared off all animals from traps, set fire going to clear away underbrush, and owned responsibility to no authority.	The miner, wherever he went, sounded the knell of fur trading; and the trapper did not like to have his game preserve overrun by fellows who scared off all animals from traps, set fire going to clear away underbrush, and owned responsibility to no authority.	true	121.19	137.65	22.011837
9022_282357_000016_000003	No doubt these men were 'argonauts' drifted up from the gold diggings of California; no doubt they were searching for new mines; but who had ever heard of gold in Vancouver Island, or in New Caledonia, as the mainland was named?	No doubt these men were 'argonauts' drifted up from the gold diggings of California; no doubt they were searching for new mines; but who had ever heard of gold in Vancouver Island, or in New Caledonia, as the mainland was named?	true	138.2	153.22	22.88814
9022_282357_000016_000004	If there had been gold, would not the company have found it?	If there had been gold, would not the company have found it?	true	153.74	157.06	26.440285
9022_282357_000016_000005	Finlayson probably thought the easiest way to get rid of the unwelcome visitors was to let them go on into the dangers of the wilds and then spread the news of the disappointment bound to be theirs.	Finlayson probably thought the easiest way to get rid of the unwelcome visitors was to let them go on into the dangers of the wilds and then spread the news of the disappointment bound to be theirs.	false	157.52	169.24	24
9022_282357_000017_000000	He handled their nuggets doubtfully.	He handled their nuggets doubtfully.	true	171.26	173.38	29.670427
9022_282357_000017_000001	Who knew for a certainty that it was gold anyhow?	Who knew for a certainty that it was gold anyhow?	true	173.9	176.94	21.680267
9022_282357_000017_000002	{3} They bade him lay it on the smith's anvil and strike it with a hammer.	{three} They bade him lay it on the smith's anvil and strike it with a hammer.	false	176.94	181.48	20.496628
9022_282357_000017_000003	Finlayson, smiling sceptically, did as he was told.	Finlayson, smiling sceptically, did as he was told.	true	181.91	185.83	22.050407
9022_282357_000017_000004	The nuggets flattened to a yellow leaf as fine and flexible as silk.	The nuggets flattened to a yellow leaf as fine and flexible as silk.	true	186.29	190.87	22.030848
9022_282357_000017_000005	Finlayson took the nuggets at eleven dollars an ounce and sent the gold down to San Francisco, very doubtful what the real value would prove.	Finlayson took the nuggets at eleven dollars an ounce and sent the gold down to San Francisco, very doubtful what the real value would prove.	false	191.24	199.48	24.698006
9022_282357_000017_000006	It proved sixteen dollars to the ounce.	It proved sixteen dollars to the ounce.	true	200	203.2	23.602262
9022_282357_000018_000000	For seven or eight years afterwards rumours kept floating in to the company's forts of finds of gold.	For seven or eight years afterwards rumours kept floating in to the company's forts of finds of gold.	false	204.35	210.04	23.379759
9022_282357_000018_000001	Many of the company's servants drifted away to California in the wake of the 'Forty-Niners,' and the company found it hard to keep its trappers from deserting all up and down the Pacific Coast.	Many of the company's servants drifted away to California in the wake of the 'Forty Niners,' and the company found it hard to keep its trappers from deserting all up and down the Pacific Coast.	true	210.38	220.96	21.987125
9022_282357_000018_000002	The quest for gold had become a sort of yellow-fever madness.	The quest for gold had become a sort of yellow fever madness.	true	221.39	225.1	20.399372
9022_282357_000018_000003	Men flung certainty to the winds and trekked recklessly to California, to Oregon, to the hinterland of the country round Colville and Okanagan.	Men flung certainty to the winds and trekked recklessly to California, to Oregon, to the hinterland of the country round Colville and Okanagan.	true	225.5	234.28	22.747282
9022_282357_000018_000004	Yet nothing occurred to cause any excitement in Victoria.	Yet nothing occurred to cause any excitement in Victoria.	true	234.8	238.18	23.32715
9022_282357_000018_000005	There was a short-lived flurry over the discovery in Queen Charlotte Islands of a nugget valued at six hundred dollars and a vein of gold-bearing quartz.	There was a short-lived flurry over the discovery in Queen Charlotte Islands of a nugget valued at six hundred dollars and a vein of gold bearing quartz.	false	238.7	248.505	22.119799
9022_282357_000018_000006	But the nugget was an isolated freak; the quartz could not be worked at a profit; and the movement suddenly died out.	But the nugget was an isolated freak; the quartz could not be worked at a profit; and the movement suddenly died out.	true	248.505	255.33	25.081667
9022_282357_000018_000007	{4} There were, however, signs of what was to follow.	{four} There were, however, signs of what was to follow.	false	255.33	259.6	22.364218
9022_282357_000018_000008	The chief trader at the little fur-post of Yale reported that when he rinsed sand round in his camp frying-pan, fine flakes and scales of yellow could be seen at the bottom.[1] But gold in such minute particles would not satisfy the men who were hunting nuggets. It required treatment by quicksilver.	The chief trader at the little fur post of Yale reported that when he rinsed sand round in his camp frying pan, fine flakes and scales of yellow could be seen at the bottom.[one] But gold in such minute particles would not satisfy the men who were hunting nuggets. It required treatment by quicksilver.	false	260.3	293.02	24.132113
9022_282357_000018_000009	Though Maclean, the chief factor at Kamloops, kept all the specks and flakes brought to his post as samples from 1852 to 1856, he had less than would fill a half-pint bottle.	Though Maclean, the chief factor at Kamloops, kept all the specks and flakes brought to his post as samples from eighteen fifty two to eighteen fifty six, he had less than would fill a half pint bottle.	true	293.42	305.95	25.167395
9022_282357_000018_000010	If a half-pint is counted as a half-pound and the gold at the company's price of eleven dollars an ounce, it will be seen why four years of such discoveries did not set Victoria on fire.	If a half pint is counted as a half pound and the gold at the company's price of eleven dollars an ounce, it will be seen why four years of such discoveries did not set Victoria on fire.	true	306.35	318.4	23.389359
9022_282357_000019_000000	It has been so with every discovery of gold in the history of the world.	It has been so with every discovery of gold in the history of the world.	true	318.83	323.14	24.50484
